npi,nppes_provider_last_name,nppes_provider_first_name,nppes_provider_zip_code,town,nppes_provider_state,specialty_description,total_claim_count,opioid_claim_count,opioid_prescribing_rate,long-acting_opioid_claim_count,year
1003002312,hopkins,patricia,02169,quincy,MA,internal medicine,4139,522.0,12.61,104.0,2013
1003083270,kabadi,mitesh,02169,quincy,MA,cardiology,40,0.0,0.0,0.0,2013
1003834433,nair,anil,02169,quincy,MA,neurology,1217,,,,2013
1003895269,angelini,domenic,02169,quincy,MA,dentist,14,0.0,0.0,0.0,2013
1003992397,carolan,patricia,02169,quincy,MA,dentist,37,,,0.0,2013
1083870687,hem,sophana,02169,quincy,MA,dentist,31,,,0.0,2013
1013341163,siracusa,tamar,02169,quincy,MA,nurse practitioner,54,,,0.0,2013
1023007358,kenny,brian,02169,quincy,MA,internal medicine,25510,548.0,2.15,64.0,2013
1023022662,sampson,ellen,02169,quincy,MA,nurse practitioner,2967,0.0,0.0,0.0,2013
1023038643,kaplan,della,02169,quincy,MA,certified clinical nurse specialist,7897,0.0,0.0,0.0,2013
1023074366,moss,martha,02169,quincy,MA,internal medicine,3385,138.0,4.08,36.0,2013
1023174950,gilani,ahmed,02169,quincy,MA,internal medicine,2395,37.0,1.54,,2013
1033109012,johnson,eric,02169,quincy,MA,ophthalmology,718,0.0,0.0,0.0,2013
1033297049,wu- young,yean,02169,quincy,MA,dentist,19,,,0.0,2013
1043200983,bobruff,martha,02169,quincy,MA,psychiatry,234,0.0,0.0,0.0,2013
1043212541,samaha,fouad,02169,quincy,MA,plastic and reconstructive surgery,22,,,0.0,2013
1043229768,young,peter,02169,quincy,MA,dermatology,379,0.0,0.0,0.0,2013
1043261274,balsamo,marianne,02169,quincy,MA,certified clinical nurse specialist,416,0.0,0.0,0.0,2013
1043445489,husted,alice,02169,quincy,MA,nurse practitioner,1184,0.0,0.0,0.0,2013
1053377945,matfis,steven,02169,quincy,MA,internal medicine,4069,117.0,2.88,,2013
1053574459,kovacs,zsuzsa,02169,quincy,MA,obstetrics/gynecology,38,,,0.0,2013
1063400349,dewire,peter,02169,quincy,MA,orthopedic surgery,200,98.0,49.0,0.0,2013
1073645560,kuang,qiao ting,02169,quincy,MA,internal medicine,1979,110.0,5.56,27.0,2013
1073763090,weaver,cheri,02169,quincy,MA,emergency medicine,180,42.0,23.33,,2013
1083816102,bond,david,02169,quincy,MA,physician assistant,61,12.0,19.67,0.0,2013
